workout_id	workout_name	movement_type	visual_type	experience_levels	required_equipment	environment	intensity	impact	fatigue	order_rank	movement_pattern	primary_muscles	secondary_muscles	goals	tags	duration_min	prescription	rep_range_min	rep_range_max	load_target	training_style	heavy_eligible	rest	progression	regression	contraindications	avoid_with	substitutions	cue_1	cue_2	cue_3	media_src
bike_intervals	Bike Intervals	cardio	runner	"beginner,intermediate,advanced"	"bike,cardio_machine"	"home,gym,outdoor"	high	low	medium	7	locomotion	"quads,glutes"	heart_lungs	"conditioning,endurance"	"low_impact,intervals,cycling"	18	"6 rounds: 45 seconds hard, 75 seconds easy"			light	aerobic	no	75 seconds easy	Add one round.	Use 30 seconds hard.	severe_shortness_of_breath	none	"fast_walk_intervals,row_intervals"	Keep effort hard but controlled.	Recover between rounds.	Do not sprint through pain.	
elliptical_easy	Easy Elliptical	cardio	runner	"beginner,intermediate,advanced"	cardio_machine	gym	low	low	low	7	locomotion	"quads,glutes"	heart_lungs	"endurance,recovery"	"low_impact,cardio_machine"	20	20 minutes easy elliptical			light	aerobic	no	None	Add duration.	Lower resistance.	severe_shortness_of_breath	none	"easy_walk,stationary_bike_easy"	Use smooth rhythm.	Keep shoulders relaxed.	Stay conversational.	
row_intervals	Rowing Intervals	cardio	runner	"intermediate,advanced"	cardio_machine	gym	high	low	high	7	hinge	"legs,back"	heart_lungs	"conditioning,endurance"	"intervals,pull,conditioning"	16	"8 rounds: 30 seconds hard, 60 seconds easy"			light	aerobic	no	60 seconds easy	Add one round.	Use easy rowing only.	"low_back_pain,severe_shortness_of_breath"	romanian_deadlift	bike_intervals	Drive with legs first.	Keep spine long.	Stop if the low back takes over.	
goblet_squat	Goblet Squat	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	squat	"quads,glutes"	core	"bodybuilding,strength,longevity"	"lower_body,beginner,power"	12	3 sets x 8-12 reps	8	12	heavy	compound	yes	60 to 90 seconds	Add reps before weight.	Use bodyweight box squat.	knee_pain	"dumbbell_walking_lunge,dumbbell_split_squat"	"box_squat,step_up"	Brace ribs over hips.	Lower with control.	Drive through the whole foot.	assets/goblet-squat.png
box_squat	Box Squat	strength	lift	"beginner,intermediate,advanced"	"none,dumbbells"	"home,gym"	low	low	low	5	squat	"quads,glutes"	core	"strength,longevity,recovery"	"beginner,low_impact,lower_body"	10	3 sets x 8 reps	8	8	moderate	compound	no	60 seconds	Add light dumbbell load.	Use higher seat.	knee_pain	goblet_squat	"sit_to_stand,goblet_squat"	Sit back to the box.	Stand without rocking.	Keep knees tracking over toes.	
sit_to_stand	Sit to Stand	strength	lift	"beginner,intermediate,advanced"	none	"home,gym"	low	low	low	5	squat	"quads,glutes"	core	"recovery,longevity,functional"	"beginner,functional,low_impact"	8	2 sets x 8 reps	8	8	light	compound	no	45 seconds	Add reps or lower seat height.	Use hand support.	knee_pain	box_squat	box_squat	Use a stable chair.	Stand tall at the top.	Control the lowering.	
reverse_lunge	Reverse Lunge	strength	lift	"intermediate,advanced"	"none,dumbbells"	"home,gym"	medium	medium	medium	5	single_leg	"quads,glutes"	core	"strength,bodybuilding,balance"	"single_leg,lower_body,balance"	12	3 sets x 8 each side	8	8	moderate	compound	no	60 seconds	Add load or reps.	Use split squat hold.	"knee_pain,balance_limits"	dumbbell_split_squat	"step_up,box_squat"	Step back softly.	Keep torso tall.	Use support if balance wobbles.	
step_up	Step-Up	strength	lift	"beginner,intermediate,advanced"	"none,dumbbells,bench"	"home,gym"	medium	low	medium	5	single_leg	"quads,glutes"	calves	"strength,endurance,longevity"	"single_leg,knees,unilateral"	12	3 sets x 10 each side	10	10	moderate	compound	no	60 seconds	Add reps or dumbbells.	Use a lower step.	"knee_pain,balance_limits"	"reverse_lunge,dumbbell_split_squat"	box_squat	Press through the whole foot.	Control the step down.	Keep knee tracking over toes.	
dumbbell_deadlift	Dumbbell Deadlift	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	hinge	"hamstrings,glutes"	back	"bodybuilding,strength,longevity"	"posterior_chain,hinge"	12	3 sets x 8-10 reps	8	10	heavy	compound	yes	90 seconds	Add reps before weight.	Use hip hinge drill.	low_back_pain	bent_over_dumbbell_row	"hip_hinge_drill,glute_bridge"	Push hips back.	Keep dumbbells close.	Stand tall without leaning back.	
romanian_deadlift	Dumbbell Romanian Deadlift	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	hinge	"hamstrings,glutes"	back	"bodybuilding,strength"	"posterior_chain,hypertrophy,hinge"	12	3 sets x 8-12 reps	8	12	heavy	compound	yes	90 seconds	Add range or load.	Use dumbbell deadlift.	low_back_pain	dumbbell_deadlift	"dumbbell_deadlift,glute_bridge"	Move hips back slowly.	Keep spine long.	Stop before back position changes.	
glute_bridge	Glute Bridge	strength	lift	"beginner,intermediate,advanced"	"none,dumbbells"	"home,gym"	low	low	low	5	hinge	"glutes,hamstrings"	core	"strength,recovery,longevity"	"glutes,low_impact,beginner"	8	3 sets x 10 reps	10	10	moderate	compound	no	45 seconds	Add pause or load.	Use fewer reps.	none	dumbbell_hip_thrust	hip_hinge_drill	Squeeze glutes at the top.	Keep ribs down.	Do not arch the low back.	
dumbbell_floor_press	Dumbbell Floor Press	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	horizontal_push	"chest,triceps"	shoulders	"bodybuilding,strength"	"push,upper_body,power"	12	3 sets x 8-12 reps	8	12	heavy	compound	yes	60 to 90 seconds	Add reps before weight.	Use lighter dumbbells.	shoulder_pain	push_up	"push_up,incline_push_up"	Lower elbows with control.	Press without shrugging.	Keep feet planted.	assets/dumbbell-floor-press.png
incline_push_up	Incline Push-Up	strength	lift	"beginner,intermediate,advanced"	"none,bench"	"home,gym"	low	low	low	5	horizontal_push	"chest,triceps"	shoulders	"strength,longevity"	"push,beginner,bodyweight"	10	3 sets x 6-10 reps	6	10	light	compound	no	60 seconds	Lower the incline over time.	Use a higher surface.	"wrist_pain,shoulder_pain"	push_up	dumbbell_floor_press	Keep body in one line.	Lower under control.	Stop before shoulders pinch.	
push_up	Push-Up	strength	lift	"intermediate,advanced"	none	"home,gym"	medium	low	medium	5	horizontal_push	"chest,triceps"	core	"strength,conditioning"	"push,bodyweight"	10	3 sets x 6-15 reps	6	15	light	compound	no	60 seconds	Add reps or tempo.	Use incline push-up.	"wrist_pain,shoulder_pain"	incline_push_up	none	Inhale down.	Press the floor away.	Keep hips from sagging.	
one_arm_row	One-Arm Dumbbell Row	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	horizontal_pull	"back,biceps"	core	"bodybuilding,strength"	"pull,upper_body,posture"	10	3 sets x 10-12 each side	10	12	heavy	compound	yes	60 seconds	Add reps before weight.	Use lighter load.	low_back_pain	bent_over_dumbbell_row	band_row	Pull elbow toward back pocket.	Keep shoulder away from ear.	Pause briefly at the top.	
band_row	Band Row	strength	lift	"beginner,intermediate,advanced"	bands	"home,gym"	low	low	low	5	horizontal_pull	"back,biceps"	shoulders	"strength,longevity"	"pull,posture,beginner"	10	3 sets x 12 reps	12	12	moderate	compound	no	45 seconds	Add band tension.	Step closer to anchor.	none	one_arm_row	one_arm_row	Keep ribs down.	Pull shoulder blades back gently.	Control the return.	
dumbbell_overhead_press	Dumbbell Overhead Press	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	vertical_push	"shoulders,triceps"	core	"bodybuilding,strength"	"shoulders,push"	10	3 sets x 8-10 reps	8	10	heavy	compound	yes	75 seconds	Add reps before load.	Use incline press or lighter load.	shoulder_pain	dumbbell_high_pull	lateral_raise	Brace before pressing.	Press up without leaning back.	Lower with control.	
lateral_raise	Lateral Raise	strength	lift	"beginner,intermediate,advanced"	"dumbbells,bands"	"home,gym"	low	low	low	6	isolation	shoulders	upper_back	bodybuilding	"shoulders,isolation,hypertrophy"	8	2 sets x 12-15 reps	12	15	moderate	accessory	no	45 seconds	Add reps before weight.	Use partial range.	shoulder_pain	dumbbell_overhead_press	band_pull_apart	Raise with soft elbows.	Stop below pinch point.	Move slowly.	assets/lateral-raise.png
biceps_curl	Biceps Curl	strength	lift	"beginner,intermediate,advanced"	"dumbbells,bands"	"home,gym"	low	low	low	6	isolation	biceps	forearms	bodybuilding	"isolation,arms"	8	2 sets x 10-15 reps	10	15	moderate	accessory	no	45 seconds	Add reps before weight.	Use lighter resistance.	elbow_pain	none	band_curl	Keep elbows near ribs.	Do not swing.	Lower slowly.	
hammer_curl	Hammer Curl	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	low	low	low	6	isolation	"biceps,brachialis"	forearms	"bodybuilding,strength"	"isolation,arms,grip"	8	2 sets x 10-15 reps	10	15	moderate	accessory	no	45 seconds	Add reps before weight.	Use lighter dumbbells.	"elbow_pain,biceps_pain"	biceps_curl	"biceps_curl,band_curl"	Keep palms facing each other.	Keep elbows close to ribs.	Lower slowly with control.	assets/hammer-curl.png
triceps_extension	Triceps Extension	strength	lift	"beginner,intermediate,advanced"	"dumbbells,bands"	"home,gym"	low	low	low	6	isolation	triceps	shoulders	bodybuilding	"isolation,arms"	8	2 sets x 10-15 reps	10	15	moderate	accessory	no	45 seconds	Add reps before weight.	Use band pressdown.	"elbow_pain,shoulder_pain"	none	close_grip_push_up	Keep upper arm steady.	Move only through comfortable range.	Control the return.	
farmer_carry	Farmer Carry	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	carry	"grip,traps"	core	"strength,conditioning,longevity"	"carry,grip,core,power"	10	5 rounds x 40 seconds			moderate	compound	no	60 seconds	Add time or load.	Use lighter dumbbells.	"grip_pain,balance_limits"	dumbbell_deadlift	suitcase_carry	Stand tall.	Walk slowly.	Keep shoulders level.	assets/farmers-carry.png
suitcase_carry	Suitcase Carry	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	carry	"obliques,grip"	core	"strength,longevity"	"carry,anti_rotation,core"	8	3 rounds x 30 seconds each side			moderate	compound	no	45 seconds	Add time or load.	Use farmer carry.	"grip_pain,balance_limits"	farmer_carry	farmer_carry	Do not lean.	Walk slowly.	Keep ribs stacked over hips.	
dead_bug	Dead Bug	strength	yoga	"beginner,intermediate,advanced"	none	"home,gym"	low	low	low	5	anti_extension	core	hip_flexors	"strength,recovery,longevity"	"core,control,beginner"	8	3 sets x 6 each side	6	6	light	control	no	30 seconds	Reach farther or slow tempo.	Move arms only.	low_back_pain	plank	bird_dog	Keep low back quiet.	Move slowly.	Exhale as the leg extends.	
plank	Forearm Plank	strength	yoga	"beginner,intermediate,advanced"	none	"home,gym"	medium	low	medium	5	anti_extension	core	shoulders	"strength,conditioning"	"core,isometric"	6	3 holds x 20-40 seconds			light	control	no	45 seconds	Add hold time.	Use elevated plank.	"shoulder_pain,low_back_pain"	dead_bug	dead_bug	Keep ribs down.	Squeeze glutes lightly.	Stop before sagging.	
bird_dog	Bird Dog	strength	yoga	"beginner,intermediate,advanced"	none	"home,gym"	low	low	low	5	anti_rotation	"core,glutes"	shoulders	"recovery,longevity,strength"	"core,balance,control"	8	3 sets x 6 each side	6	6	light	control	no	30 seconds	Add pause time.	Move one limb at a time.	wrist_pain	none	dead_bug	Reach long.	Keep hips level.	Move slowly.	
dumbbell_complex	Dumbbell Complex	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	high	low	high	6	circuit	full_body	heart_lungs	"conditioning,strength"	"conditioning,full_body,fat_loss"	18	4 rounds x 45 seconds per move			moderate	compound	no	60 seconds	Add one round.	Use lighter weights or fewer moves.	"low_back_pain,poor_technique"	"dumbbell_deadlift,dumbbell_overhead_press"	fast_walk_intervals	"Cycle squat, row, press, and hinge."	"Move crisply, not sloppily."	Stop before technique fails.	
dumbbell_split_squat	Dumbbell Split Squat	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	single_leg	"quads,glutes"	core	"bodybuilding,strength,balance"	"single_leg,lower_body,hypertrophy"	12	3 sets x 8-10 each side	8	10	heavy	compound	yes	75 seconds	Add reps before weight.	Use bodyweight split squat or supported reverse lunge.	"knee_pain,balance_limits"	"reverse_lunge,goblet_squat"	"step_up,reverse_lunge"	Keep front foot rooted.	Lower straight down with control.	Use support if balance limits effort.	assets/dumbbell-split-squat.png
dumbbell_hip_thrust	Dumbbell Hip Thrust	strength	lift	"beginner,intermediate,advanced"	"dumbbells,bench"	"home,gym"	medium	low	medium	5	hinge	"glutes,hamstrings"	core	"bodybuilding,strength"	"posterior_chain,glutes,hypertrophy"	12	3 sets x 10-12 reps	10	12	heavy	compound	yes	75 seconds	Add reps before load.	Use glute bridge on the floor.	low_back_pain	glute_bridge	"glute_bridge,dumbbell_deadlift"	Drive through heels.	Keep ribs down at the top.	Pause without arching the low back.	
dumbbell_chest_fly	Dumbbell Chest Fly	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	low	low	low	6	horizontal_push	chest	shoulders	bodybuilding	"upper_body,chest,isolation"	8	2 sets x 10-12 reps	10	12	moderate	accessory	no	60 seconds	Add reps before weight.	Use floor press with light dumbbells.	shoulder_pain	dumbbell_floor_press	"dumbbell_floor_press,incline_push_up"	Use a soft elbow bend.	Stop before shoulder stretch becomes sharp.	Squeeze chest without clanking weights.	
bent_over_dumbbell_row	Bent-Over Dumbbell Row	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	horizontal_pull	"back,biceps"	hamstrings	"bodybuilding,strength"	"pull,upper_body,posterior_chain"	10	3 sets x 8-10 reps	8	10	heavy	compound	yes	75 seconds	Add reps before weight.	Use one-arm row with support.	low_back_pain	one_arm_row	"one_arm_row,band_row"	Hinge and hold a long spine.	"Pull elbows back, not shoulders up."	Stop if low back becomes the limiter.	
rear_delt_fly	Rear Delt Fly	strength	lift	"beginner,intermediate,advanced"	"dumbbells,bands"	"home,gym"	low	low	low	6	horizontal_pull	"rear_delts,upper_back"	shoulders	"bodybuilding,strength"	"posture,shoulders,isolation"	8	2 sets x 12-15 reps	12	15	moderate	accessory	no	45 seconds	Add reps before weight.	Use band pull-apart.	shoulder_pain	one_arm_row	"band_row,lateral_raise"	Hinge slightly with ribs down.	Lead with elbows.	Keep the movement small and controlled.	
arnold_press	Arnold Press	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	vertical_push	"shoulders,triceps"	core	"bodybuilding,strength"	"shoulders,push,hypertrophy"	10	3 sets x 8-10 reps	8	10	heavy	compound	yes	75 seconds	Add reps before weight.	Use lateral raise or lighter overhead press.	shoulder_pain	dumbbell_overhead_press	"lateral_raise,dumbbell_overhead_press"	Rotate smoothly.	Do not lean back to finish reps.	Lower with control.	
close_grip_floor_press	Close-Grip Dumbbell Floor Press	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	horizontal_push	"triceps,chest"	shoulders	"bodybuilding,strength"	"arms,push,upper_body"	10	3 sets x 8-12 reps	8	12	heavy	compound	yes	60 to 90 seconds	Add reps before weight.	Use one dumbbell or lighter load.	"elbow_pain,shoulder_pain"	triceps_extension	"dumbbell_floor_press,triceps_extension"	Keep elbows near ribs.	Touch upper arms to floor softly.	Press without shrugging.	
standing_calf_raise	Standing Calf Raise	strength	lift	"beginner,intermediate,advanced"	"none,dumbbells"	"home,gym"	low	low	low	6	ankle	calves	feet	"endurance,strength,longevity"	"lower_body,ankles,running"	8	3 sets x 12-15 reps	12	15	moderate	accessory	no	30 seconds	Add reps or dumbbells.	Use both hands on support.	ankle_pain	none	"march_in_place,calf_hip_mobility"	Rise through the big toe.	Pause at the top.	Lower slowly.	
side_plank	Side Plank	strength	yoga	"beginner,intermediate,advanced"	none	"home,gym"	medium	low	medium	5	anti_lateral_flexion	"obliques,core"	shoulders	"strength,longevity,balance"	"core,isometric,anti_rotation"	6	2 holds x 15-30 seconds each side			light	control	no	45 seconds	Add hold time.	Bend knees or use elevated support.	"shoulder_pain,low_back_pain"	plank	"dead_bug,bird_dog"	Stack ribs over hips.	Push the floor away.	End before hips sag.	
mountain_climber	Mountain Climber	strength	runner	"intermediate,advanced"	none	"home,gym"	high	medium	high	6	circuit	"core,hip_flexors"	heart_lungs	"conditioning,strength"	"conditioning,core,fat_loss"	8	4 rounds x 30 seconds			light	conditioning	no	60 seconds	Add one round or slow tempo.	Use elevated hands or marching plank.	"wrist_pain,shoulder_pain,low_back_pain"	"plank,dead_bug"	"dead_bug,fast_walk_intervals"	Keep shoulders over hands.	Move knees without bouncing hips.	Stop before form gets noisy.	
dumbbell_sumo_squat	Dumbbell Sumo Squat	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	squat	"adductors,glutes"	quads	"bodybuilding,strength,longevity"	"lower_body,hypertrophy,glutes"	12	3 sets x 8-12 reps	8	12	heavy	compound	yes	75 seconds	Add reps before weight.	Use bodyweight wide squat.	knee_pain	dumbbell_walking_lunge	"goblet_squat,box_squat"	Use a wide comfortable stance.	Keep knees tracking over toes.	Drive through the whole foot.	
dumbbell_walking_lunge	Dumbbell Walking Lunge	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	medium	medium	5	single_leg	"quads,glutes"	hamstrings	"bodybuilding,strength,balance"	"legs,unilateral,hypertrophy"	12	3 sets x 8-12 each side	8	12	heavy	compound	yes	75 seconds	Add reps before weight.	Use reverse lunge or bodyweight lunges.	"knee_pain,balance_limits"	"reverse_lunge,dumbbell_split_squat"	"dumbbell_split_squat,step_up"	Step softly.	Keep torso tall.	Control the back knee toward the floor.	
single_leg_rdl	Single-Leg Romanian Deadlift	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	hinge	"hamstrings,glutes"	core	"bodybuilding,strength,balance"	"posterior_chain,unilateral,hypertrophy"	10	3 sets x 8-12 each side	8	12	heavy	compound	yes	75 seconds	Add reps before weight.	Use kickstand RDL or bodyweight reach.	"low_back_pain,balance_limits"	romanian_deadlift	"dumbbell_deadlift,single_leg_balance"	Hinge from the hip.	Keep hips square.	Reach the back leg long without twisting.	
dumbbell_good_morning	Dumbbell Good Morning	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	hinge	"hamstrings,glutes"	back	"bodybuilding,strength"	"posterior_chain,hinge,hypertrophy"	10	3 sets x 8-12 reps	8	12	moderate	compound	no	75 seconds	Add reps before weight.	Use hip hinge drill or glute bridge.	low_back_pain	romanian_deadlift	"glute_bridge,dumbbell_deadlift"	Hold one dumbbell high at the chest.	Push hips back slowly.	Stop before the back rounds.	
dumbbell_pullover	Dumbbell Pullover	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	shoulder_extension	"lats,chest"	triceps	"bodybuilding,strength"	"upper_body,pull,chest,lats"	10	3 sets x 8-12 reps	8	12	moderate	compound	no	75 seconds	Add reps before weight.	Use smaller range or lighter dumbbell.	shoulder_pain	dumbbell_floor_press	"one_arm_row,dumbbell_chest_fly"	Keep ribs down.	Move only through comfortable shoulder range.	Pull the dumbbell back over the chest with control.	
dumbbell_squeeze_press	Dumbbell Squeeze Press	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	medium	low	medium	5	horizontal_push	"chest,triceps"	shoulders	"bodybuilding,strength"	"chest,push,upper_body,hypertrophy"	10	3 sets x 8-12 reps	8	12	heavy	compound	yes	75 seconds	Add reps before weight.	Use floor press or lighter dumbbells.	shoulder_pain	dumbbell_floor_press	"dumbbell_floor_press,incline_push_up"	Press dumbbells together.	Keep elbows about 45 degrees from ribs.	Squeeze through the whole press.	
decline_push_up	Decline Push-Up	strength	lift	"intermediate,advanced"	"none,bench"	"home,gym"	medium	low	medium	5	horizontal_push	"chest,shoulders"	triceps	"bodybuilding,strength"	"push,upper_body,bodyweight"	10	3 sets x 8-12 reps	8	12	light	compound	no	75 seconds	Add reps or slow tempo.	Use regular push-up or incline push-up.	"wrist_pain,shoulder_pain"	"push_up,incline_push_up"	"push_up,incline_push_up"	Keep body in one line.	Lower under control.	Stop before shoulders pinch.	
pike_push_up	Pike Push-Up	strength	lift	"intermediate,advanced"	none	"home,gym"	medium	low	medium	5	vertical_push	"shoulders,triceps"	core	"bodybuilding,strength"	"shoulders,push,bodyweight"	8	3 sets x 6-10 reps	6	10	light	compound	no	75 seconds	Add reps or elevate feet.	Use dumbbell overhead press with light load.	"wrist_pain,shoulder_pain"	dumbbell_overhead_press	"dumbbell_overhead_press,lateral_raise"	Hips high.	Lower head between hands.	Press floor away without shrugging.	
dumbbell_front_raise	Dumbbell Front Raise	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	low	low	low	6	shoulder_flexion	front_delts	upper_chest	bodybuilding	"shoulders,isolation,upper_body"	8	2 sets x 10-15 reps	10	15	moderate	accessory	no	45 seconds	Add reps before weight.	Use one arm at a time or lighter dumbbells.	shoulder_pain	lateral_raise	"lateral_raise,rear_delt_fly"	Use soft elbows.	Raise only to shoulder height.	Lower slowly.	
dumbbell_shrug	Dumbbell Shrug	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	low	low	low	6	elevation	traps	grip	"bodybuilding,strength"	"traps,upper_body,grip"	8	3 sets x 8-12 reps	8	12	heavy	accessory	yes	60 seconds	Add reps before weight.	Use lighter dumbbells or farmer carry.	neck_pain	farmer_carry	"farmer_carry,rear_delt_fly"	Stand tall.	Lift shoulders straight up.	Pause briefly without rolling the shoulders.	assets/dumbbell-shrug.png
concentration_curl	Concentration Curl	strength	lift	"beginner,intermediate,advanced"	dumbbells	"home,gym"	low	low	low	6	elbow_flexion	biceps	forearms	bodybuilding	"arms,biceps,isolation,hypertrophy"	8	2 sets x 8-12 each side	8	12	moderate	accessory	no	45 seconds	Add reps before weight.	Use standing curl or lighter load.	"elbow_pain,biceps_pain"	hammer_curl	"biceps_curl,hammer_curl"	Brace elbow against inner thigh.	Curl without swinging.	Lower slowly.	
dumbbell_reverse_curl	Dumbbell Reverse Curl	strength	lift	"beginner,intermediate,advanced"	"dumbbells,bands"	"home,gym"	low	low	low	6	elbow_flexion	"forearms,biceps"	brachialis	"bodybuilding,strength"	"arms,forearms,grip"	8	2 sets x 10-12 reps	10	12	moderate	accessory	no	45 seconds	Add reps before weight.	Use hammer curl or lighter load.	"elbow_pain,biceps_pain"	hammer_curl	"hammer_curl,biceps_curl"	Keep palms down.	Keep elbows close.	Control the lower.	
dumbbell_skull_crusher	Dumbbell Skull Crusher	strength	lift	"intermediate,advanced"	dumbbells	"home,gym"	low	low	low	6	elbow_extension	triceps	shoulders	bodybuilding	"arms,triceps,isolation,hypertrophy"	8	2 sets x 8-12 reps	8	12	moderate	accessory	no	60 seconds	Add reps before weight.	Use close-grip floor press.	"elbow_pain,shoulder_pain"	triceps_extension	"close_grip_floor_press,triceps_extension"	Keep upper arms still.	Lower toward the sides of the head.	Extend elbows without flaring.	
